x,y,B2,B3,B4,Class_ID
679626.511797682,4764044.18968254,171,486,249,4
679629.029443546,4764044.18968254,171,486,249,4
679631.54708941,4764044.18968254,165,498,205,4
679634.064735274,4764044.18968254,165,498,205,4
679636.582381137,4764044.18968254,165,498,205,4
679639.100027001,4764044.18968254,165,498,205,4
679641.617672865,4764044.18968254,172,512,234,4
679644.135318729,4764044.18968254,172,512,234,4
679646.652964593,4764044.18968254,172,512,234,4
679649.170610456,4764044.18968254,172,512,234,4
679651.68825632,4764044.18968254,174,519,256,4
679654.205902184,4764044.18968254,174,519,256,4
679656.723548048,4764044.18968254,174,519,256,4
679659.241193912,4764044.18968254,174,519,256,4
679661.758839775,4764044.18968254,211,538,234,4
679664.276485639,4764044.18968254,211,538,234,4
679666.794131503,4764044.18968254,211,538,234,4
679669.311777367,4764044.18968254,211,538,234,4
679671.82942323,4764044.18968254,215,530,217,4
679674.347069094,4764044.18968254,215,530,217,4
679676.864714958,4764044.18968254,215,530,217,4
679679.382360822,4764044.18968254,215,530,217,4
679681.900006686,4764044.18968254,304,619,353,4
679684.417652549,4764044.18968254,304,619,353,4
679686.935298413,4764044.18968254,304,619,353,4
679689.452944277,4764044.18968254,304,619,353,4
679691.970590141,4764044.18968254,338,720,569,4
679694.488236005,4764044.18968254,338,720,569,4
679697.005881868,4764044.18968254,338,720,569,4
679699.523527732,4764044.18968254,338,720,569,4
679702.041173596,4764044.18968254,354,685,551,4
679704.55881946,4764044.18968254,354,685,551,4
679707.076465324,4764044.18968254,354,685,551,4
679709.594111187,4764044.18968254,354,685,551,4
679712.111757051,4764044.18968254,431,742,596,4
679714.629402915,4764044.18968254,431,742,596,4
679717.147048779,4764044.18968254,431,742,596,4
679719.664694643,4764044.18968254,431,742,596,4
678078.15959145,4764041.69841373,1647,1484,1415,2
678080.677237313,4764041.69841373,1653,1580,1482,2
678083.194883177,4764041.69841373,1653,1580,1482,2
678085.712529041,4764041.69841373,1653,1580,1482,2
678088.230174905,4764041.69841373,1653,1580,1482,2
